symbipredict_column,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321
congestion,cc_nasalcongestion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chest_pain,abdomnlpain,chestpain,cc_abdominalpain,cc_abdominalpainpregnant,cc_anklepain,cc_armpain,cc_backpain,cc_breastpain,cc_chestpain,cc_chesttightness,cc_dentalpain,cc_earpain,cc_elbowpain,cc_epigastricpain,cc_eyepain,cc_facialpain,cc_fingerpain,cc_flankpain,cc_footpain,cc_groinpain,cc_handpain,cc_hippain,cc_jawpain,cc_kneepain,cc_legpain,cc_neckpain,cc_pain,cc_pelvicpain,cc_rectalpain,cc_ribpain,cc_shoulderpain,cc_sicklecellpain,cc_testiclepain,cc_toepain,cc_vaginalpain,cc_wristpain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
weakness_in_limbs,insurance_status,arrivalhour_bin,abdomnlpain,blindness,brainnscan,chestpain,crushinjury,disordersusuallydiagnosedininfancych,dizziness,dminpreg,ecodesdrowningsubmersion,ecodesmachinery,ecodespoisoning,ecodesstruckbyagainst,eyeinfectn,feminfertil,hivinfectn,hodgkinsds,htninpreg,inducabortn,infectarth,influenza,infmalegen,intestinfct,intobstruct,intracrninj,jointinjury,maintchemr,meningitis,obrelatedperintrauma,othbactinf,othcnsinfx,otherinjury,otherpregnancyanddeliveryincludingnormal,othinfectns,othskindx,othveindx,otinflskin,otjointdx,otperintdx,otuprspin,parkinsons,perintjaund,retinaldx,screeningandhistoryofmentalhealthan,septicemiaexceptinlabor,sexualinfxs,skininfectn,skinmelanom,socialadmin,spincorinj,sprain,suicideandintentionalselfinflictedin,superficinj,ulcerskin,urinstone,urinyorgca,viralinfect,alanineaminotransferase(alt)_last,albumin_last,aspartateaminotransferase(ast)_last,"benzodiazepinesscreen,urine,noconf._last",bilirubindirect_last,bilirubintotal_last,creatinine_last,eosinoabs_last,globulin_last,hemoglobin_last,inr_last,"phencyclidine(pcp)screen,urine,noconf._last",poccreatinine_last,poctroponini._last,proteintotal_last,prothrombintime_last,troponini(poc)_last,troponint_last,absolutelymphocytecount_min,acetonebld_min,alanineaminotransferase(alt)_min,albumin_min,alkphos_min,anc(absneutrophilcount)_min,aniongap_min,aspartateaminotransferase(ast)_min,"b-typenatriureticpeptide,pro(probnp)_min",baseexcess(poc)_min,"baseexcess,venous(poc)_min",basos_min,basosabs_min,"benzodiazepinesscreen,urine,noconf._min",bilirubindirect_min,bilirubintotal_min,bun_min,bun/creatratio_min,calcium_min,calculatedco2(poc)_min,calculatedhco3(poc)i_min,calculatedo2saturation(poc)_min,chloride_min,cktotal_min,co2_min,"co2calculated,venous(poc)_min","co2,poc_min",creatinine_min,d-dimer_min,egfr_min,egfr(nonafricanamerican)_min,egfr(aframer)_min,eos_min,eosinoabs_min,epithelialcells_min,globulin_min,glucose_min,"glucose,meter_min","hco3calculated,venous(poc)_min",hematocrit_min,hemoglobin_min,immaturegrans(abs)_min,immaturegranulocytes_min,inr_min,"lactate,poc_min",lipase_min,lymphs_min,magnesium_min,mch_min,mchc_min,mcv_min,monocytes_min,monosabs_min,mpv_min,neutrophils_min,nrbc_min,nrbcabsolute_min,"o2satcalculated,venous(poc)_min",pco2(poc)_min,"pco2,venous(poc)_min","ph,venous(poc)_min","phencyclidine(pcp)screen,urine,noconf._min",phosphorus_min,platelets_min,po2(poc)_min,"po2,venous(poc)_min",pocbun_min,poccreatinine_min,pocglucose_min,pochematocrit_min,pocionizedcalcium_min,pocph_min,pocpotassium_min,pocsodium_min,poctroponini._min,potassium_min,proteintotal_min,prothrombintime_min,ptt_min,rbc_min,rbc/hpf_min,rdw_min,sodium_min,troponini(poc)_min,troponint_min,tsh_min,wbc_min,wbc/hpf_min,alanineaminotransferase(alt)_max,albumin_max,aspartateaminotransferase(ast)_max,"benzodiazepinesscreen,urine,noconf._max",bilirubindirect_max,bilirubintotal_max,creatinine_max,eosinoabs_max,globulin_max,hemoglobin_max,inr_max,"phencyclidine(pcp)screen,urine,noconf._max",poccreatinine_max,poctroponini._max,proteintotal_max,prothrombintime_max,troponini(poc)_max,troponint_max,alanineaminotransferase(alt)_median,albumin_median,aspartateaminotransferase(ast)_median,"benzodiazepinesscreen,urine,noconf._median",bilirubindirect_median,bilirubintotal_median,creatinine_median,eosinoabs_median,globulin_median,hemoglobin_median,inr_median,"phencyclidine(pcp)screen,urine,noconf._median",poccreatinine_median,poctroponini._median,proteintotal_median,prothrombintime_median,troponini(poc)_median,troponint_median,proteinua_last,"bloodculture,routine_last","urineculture,routine_last",proteinua_npos,"bloodculture,routine_npos","urineculture,routine_npos",proteinua_count,"bloodculture,routine_count","urineculture,routine_count",pulse_min,resp_min,spo2_min,temp_min,sbp_min,dbp_min,o2_device_min,meds_analgesicandantihistaminecombination,meds_antihistamineanddecongestantcombination,meds_antihistamines,meds_antiinfectives,meds_antiinfectives/miscellaneous,meds_antineoplastics,meds_antiparkinsondrugs,meds_colonystimulatingfactors,meds_gastrointestinal,meds_investigational,meds_pre-natalvitamins,meds_skinpreps,meds_smokingdeterrents,meds_vitamins,cc_abdominalcramping,cc_abdominaldistention,cc_abdominalpain,cc_abdominalpainpregnant,cc_alcoholintoxication,cc_ankleinjury,cc_anklepain,cc_arminjury,cc_armpain,cc_armswelling,cc_backpain,cc_bleeding/bruising,cc_breastpain,cc_breathingdifficulty,cc_breathingproblem,cc_chestpain,cc_dentalpain,cc_dizziness,cc_earpain,cc_elbowpain,cc_epigastricpain,cc_extremityweakness,cc_eyeinjury,cc_eyepain,cc_facialinjury,cc_facialpain,cc_facialswelling,cc_fingerinjury,cc_fingerpain,cc_fingerswelling,cc_flankpain,cc_footinjury,cc_footpain,cc_footswelling,cc_foreignbodyineye,cc_gibleeding,cc_groinpain,cc_hallucinations,cc_handinjury,cc_handpain,cc_headache-recurrentorknowndxmigraines,cc_headinjury,cc_hippain,cc_influenza,cc_ingestion,cc_insectbite,cc_jawpain,cc_jointswelling,cc_kneeinjury,cc_kneepain,cc_leginjury,cc_legpain,cc_legswelling,cc_medicalscreening,cc_migraine,cc_neckpain,cc_oralswelling,cc_overdose-intentional,cc_pain,cc_pelvicpain,cc_poisoning,cc_rectalbleeding,cc_rectalpain,cc_ribinjury,cc_ribpain,cc_shoulderinjury,cc_shoulderpain,cc_sicklecellpain,cc_sinusproblem,cc_skinirritation,cc_skinproblem,cc_testiclepain,cc_thumbinjury,cc_toeinjury,cc_toepain,cc_urinaryfrequency,cc_urinaryretention,cc_urinarytractinfection,cc_vaginalbleeding,cc_vaginaldischarge,cc_vaginalpain,cc_weakness,cc_wheezing,cc_woundinfection,cc_wristinjury,cc_wristpain,,,,,,
fast_heart_rate,othheartdx,cc_irregularheartbeat,cc_rapidheartrate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pain_during_bowel_movements,abdomnlpain,chestpain,cc_abdominalpain,cc_abdominalpainpregnant,cc_anklepain,cc_armpain,cc_backpain,cc_breastpain,cc_chestpain,cc_dentalpain,cc_earpain,cc_elbowpain,cc_epigastricpain,cc_eyepain,cc_facialpain,cc_fingerpain,cc_flankpain,cc_footpain,cc_groinpain,cc_handpain,cc_hippain,cc_jawpain,cc_kneepain,cc_legpain,cc_neckpain,cc_pain,cc_pelvicpain,cc_rectalpain,cc_ribpain,cc_shoulderpain,cc_sicklecellpain,cc_testiclepain,cc_toepain,cc_vaginalpain,cc_wristpain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pain_in_anal_region,insurance_status,arrivalhour_bin,abdomnlpain,analrectal,blindness,brainnscan,chestpain,crushinjury,disordersusuallydiagnosedininfancych,dizziness,dminpreg,ecodesdrowningsubmersion,ecodesmachinery,ecodespoisoning,ecodesstruckbyagainst,eyeinfectn,feminfertil,hivinfectn,hodgkinsds,htninpreg,inducabortn,infectarth,influenza,infmalegen,intestinfct,intobstruct,intracrninj,jointinjury,maintchemr,meningitis,obrelatedperintrauma,othbactinf,othcnsinfx,otherinjury,otherpregnancyanddeliveryincludingnormal,othinfectns,othskindx,othveindx,otinflskin,otjointdx,otperintdx,otuprspin,parkinsons,perintjaund,retinaldx,screeningandhistoryofmentalhealthan,septicemiaexceptinlabor,sexualinfxs,skininfectn,skinmelanom,socialadmin,spincorinj,sprain,suicideandintentionalselfinflictedin,superficinj,ulcerskin,urinstone,urinyorgca,viralinfect,alanineaminotransferase(alt)_last,albumin_last,aspartateaminotransferase(ast)_last,"benzodiazepinesscreen,urine,noconf._last",bilirubindirect_last,bilirubintotal_last,creatinine_last,eosinoabs_last,globulin_last,hemoglobin_last,inr_last,"phencyclidine(pcp)screen,urine,noconf._last",poccreatinine_last,poctroponini._last,proteintotal_last,prothrombintime_last,troponini(poc)_last,troponint_last,absolutelymphocytecount_min,acetonebld_min,alanineaminotransferase(alt)_min,albumin_min,alkphos_min,anc(absneutrophilcount)_min,aniongap_min,aspartateaminotransferase(ast)_min,"b-typenatriureticpeptide,pro(probnp)_min",baseexcess(poc)_min,"baseexcess,venous(poc)_min",basos_min,basosabs_min,"benzodiazepinesscreen,urine,noconf._min",bilirubindirect_min,bilirubintotal_min,bun_min,bun/creatratio_min,calcium_min,calculatedco2(poc)_min,calculatedhco3(poc)i_min,calculatedo2saturation(poc)_min,chloride_min,cktotal_min,co2_min,"co2calculated,venous(poc)_min","co2,poc_min",creatinine_min,d-dimer_min,egfr_min,egfr(nonafricanamerican)_min,egfr(aframer)_min,eos_min,eosinoabs_min,epithelialcells_min,globulin_min,glucose_min,"glucose,meter_min","hco3calculated,venous(poc)_min",hematocrit_min,hemoglobin_min,immaturegrans(abs)_min,immaturegranulocytes_min,inr_min,"lactate,poc_min",lipase_min,lymphs_min,magnesium_min,mch_min,mchc_min,mcv_min,monocytes_min,monosabs_min,mpv_min,neutrophils_min,nrbc_min,nrbcabsolute_min,"o2satcalculated,venous(poc)_min",pco2(poc)_min,"pco2,venous(poc)_min","ph,venous(poc)_min","phencyclidine(pcp)screen,urine,noconf._min",phosphorus_min,platelets_min,po2(poc)_min,"po2,venous(poc)_min",pocbun_min,poccreatinine_min,pocglucose_min,pochematocrit_min,pocionizedcalcium_min,pocph_min,pocpotassium_min,pocsodium_min,poctroponini._min,potassium_min,proteintotal_min,prothrombintime_min,ptt_min,rbc_min,rbc/hpf_min,rdw_min,sodium_min,troponini(poc)_min,troponint_min,tsh_min,wbc_min,wbc/hpf_min,alanineaminotransferase(alt)_max,albumin_max,aspartateaminotransferase(ast)_max,"benzodiazepinesscreen,urine,noconf._max",bilirubindirect_max,bilirubintotal_max,creatinine_max,eosinoabs_max,globulin_max,hemoglobin_max,inr_max,"phencyclidine(pcp)screen,urine,noconf._max",poccreatinine_max,poctroponini._max,proteintotal_max,prothrombintime_max,troponini(poc)_max,troponint_max,alanineaminotransferase(alt)_median,albumin_median,aspartateaminotransferase(ast)_median,"benzodiazepinesscreen,urine,noconf._median",bilirubindirect_median,bilirubintotal_median,creatinine_median,eosinoabs_median,globulin_median,hemoglobin_median,inr_median,"phencyclidine(pcp)screen,urine,noconf._median",poccreatinine_median,poctroponini._median,proteintotal_median,prothrombintime_median,troponini(poc)_median,troponint_median,proteinua_last,"bloodculture,routine_last","urineculture,routine_last",proteinua_npos,"bloodculture,routine_npos","urineculture,routine_npos",proteinua_count,"bloodculture,routine_count","urineculture,routine_count",pulse_min,resp_min,spo2_min,temp_min,sbp_min,dbp_min,o2_device_min,meds_analgesicandantihistaminecombination,meds_analgesics,meds_antihistamineanddecongestantcombination,meds_antihistamines,meds_antiinfectives,meds_antiinfectives/miscellaneous,meds_antineoplastics,meds_antiparkinsondrugs,meds_colonystimulatingfactors,meds_gastrointestinal,meds_investigational,meds_pre-natalvitamins,meds_skinpreps,meds_smokingdeterrents,meds_vitamins,cc_abdominalcramping,cc_abdominaldistention,cc_abdominalpain,cc_abdominalpainpregnant,cc_alcoholintoxication,cc_ankleinjury,cc_anklepain,cc_arminjury,cc_armpain,cc_armswelling,cc_backpain,cc_bleeding/bruising,cc_breastpain,cc_breathingdifficulty,cc_breathingproblem,cc_chestpain,cc_dentalpain,cc_dizziness,cc_earpain,cc_elbowpain,cc_epigastricpain,cc_eyeinjury,cc_eyepain,cc_facialinjury,cc_facialpain,cc_facialswelling,cc_fingerinjury,cc_fingerpain,cc_fingerswelling,cc_flankpain,cc_footinjury,cc_footpain,cc_footswelling,cc_foreignbodyineye,cc_gibleeding,cc_groinpain,cc_hallucinations,cc_handinjury,cc_handpain,cc_headache-recurrentorknowndxmigraines,cc_headinjury,cc_hippain,cc_influenza,cc_ingestion,cc_insectbite,cc_jawpain,cc_jointswelling,cc_kneeinjury,cc_kneepain,cc_leginjury,cc_legpain,cc_legswelling,cc_medicalscreening,cc_migraine,cc_neckpain,cc_oralswelling,cc_overdose-intentional,cc_pain,cc_pelvicpain,cc_poisoning,cc_rectalbleeding,cc_rectalpain,cc_ribinjury,cc_ribpain,cc_shoulderinjury,cc_shoulderpain,cc_sicklecellpain,cc_sinusproblem,cc_skinirritation,cc_skinproblem,cc_testiclepain,cc_thumbinjury,cc_toeinjury,cc_toepain,cc_urinaryfrequency,cc_urinaryretention,cc_urinarytractinfection,cc_vaginalbleeding,cc_vaginaldischarge,cc_vaginalpain,cc_wheezing,cc_woundinfection,cc_wristinjury,cc_wristpain,,,,,,
bloody_stool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irritation_in_anus,insurance_status,arrivalhour_bin,abdomnlpain,blindness,brainnscan,chestpain,crushinjury,disordersusuallydiagnosedininfancych,dizziness,dminpreg,ecodesdrowningsubmersion,ecodesmachinery,ecodespoisoning,ecodesstruckbyagainst,eyeinfectn,feminfertil,hivinfectn,hodgkinsds,htninpreg,inducabortn,infectarth,influenza,infmalegen,intestinfct,intobstruct,intracrninj,jointinjury,maintchemr,meningitis,obrelatedperintrauma,othbactinf,othcnsinfx,otherinjury,otherpregnancyanddeliveryincludingnormal,othinfectns,othskindx,othveindx,otinflskin,otjointdx,otperintdx,otuprspin,parkinsons,perintjaund,rctmanusca,retinaldx,screeningandhistoryofmentalhealthan,septicemiaexceptinlabor,sexualinfxs,skininfectn,skinmelanom,socialadmin,spincorinj,sprain,suicideandintentionalselfinflictedin,superficinj,ulcerskin,urinstone,urinyorgca,viralinfect,alanineaminotransferase(alt)_last,albumin_last,aspartateaminotransferase(ast)_last,"benzodiazepinesscreen,urine,noconf._last",bilirubindirect_last,bilirubintotal_last,creatinine_last,eosinoabs_last,globulin_last,hemoglobin_last,inr_last,"phencyclidine(pcp)screen,urine,noconf._last",poccreatinine_last,poctroponini._last,proteintotal_last,prothrombintime_last,troponini(poc)_last,troponint_last,absolutelymphocytecount_min,acetonebld_min,alanineaminotransferase(alt)_min,albumin_min,alkphos_min,anc(absneutrophilcount)_min,aniongap_min,aspartateaminotransferase(ast)_min,"b-typenatriureticpeptide,pro(probnp)_min",baseexcess(poc)_min,"baseexcess,venous(poc)_min",basos_min,basosabs_min,"benzodiazepinesscreen,urine,noconf._min",bilirubindirect_min,bilirubintotal_min,bun_min,bun/creatratio_min,calcium_min,calculatedco2(poc)_min,calculatedhco3(poc)i_min,calculatedo2saturation(poc)_min,chloride_min,cktotal_min,co2_min,"co2calculated,venous(poc)_min","co2,poc_min",creatinine_min,d-dimer_min,egfr_min,egfr(nonafricanamerican)_min,egfr(aframer)_min,eos_min,eosinoabs_min,epithelialcells_min,globulin_min,glucose_min,"glucose,meter_min","hco3calculated,venous(poc)_min",hematocrit_min,hemoglobin_min,immaturegrans(abs)_min,immaturegranulocytes_min,inr_min,"lactate,poc_min",lipase_min,lymphs_min,magnesium_min,mch_min,mchc_min,mcv_min,monocytes_min,monosabs_min,mpv_min,neutrophils_min,nrbc_min,nrbcabsolute_min,"o2satcalculated,venous(poc)_min",pco2(poc)_min,"pco2,venous(poc)_min","ph,venous(poc)_min","phencyclidine(pcp)screen,urine,noconf._min",phosphorus_min,platelets_min,po2(poc)_min,"po2,venous(poc)_min",pocbun_min,poccreatinine_min,pocglucose_min,pochematocrit_min,pocionizedcalcium_min,pocph_min,pocpotassium_min,pocsodium_min,poctroponini._min,potassium_min,proteintotal_min,prothrombintime_min,ptt_min,rbc_min,rbc/hpf_min,rdw_min,sodium_min,troponini(poc)_min,troponint_min,tsh_min,wbc_min,wbc/hpf_min,alanineaminotransferase(alt)_max,albumin_max,aspartateaminotransferase(ast)_max,"benzodiazepinesscreen,urine,noconf._max",bilirubindirect_max,bilirubintotal_max,creatinine_max,eosinoabs_max,globulin_max,hemoglobin_max,inr_max,"phencyclidine(pcp)screen,urine,noconf._max",poccreatinine_max,poctroponini._max,proteintotal_max,prothrombintime_max,troponini(poc)_max,troponint_max,alanineaminotransferase(alt)_median,albumin_median,aspartateaminotransferase(ast)_median,"benzodiazepinesscreen,urine,noconf._median",bilirubindirect_median,bilirubintotal_median,creatinine_median,eosinoabs_median,globulin_median,hemoglobin_median,inr_median,"phencyclidine(pcp)screen,urine,noconf._median",poccreatinine_median,poctroponini._median,proteintotal_median,prothrombintime_median,troponini(poc)_median,troponint_median,proteinua_last,"bloodculture,routine_last","urineculture,routine_last",proteinua_npos,"bloodculture,routine_npos","urineculture,routine_npos",proteinua_count,"bloodculture,routine_count","urineculture,routine_count",pulse_min,resp_min,spo2_min,temp_min,sbp_min,dbp_min,o2_device_min,meds_analgesicandantihistaminecombination,meds_antihistamineanddecongestantcombination,meds_antihistamines,meds_antiinfectives,meds_antiinfectives/miscellaneous,meds_antineoplastics,meds_antiparkinsondrugs,meds_colonystimulatingfactors,meds_gastrointestinal,meds_investigational,meds_pre-natalvitamins,meds_skinpreps,meds_smokingdeterrents,meds_vitamins,cc_abdominalcramping,cc_abdominaldistention,cc_abdominalpain,cc_abdominalpainpregnant,cc_alcoholintoxication,cc_ankleinjury,cc_anklepain,cc_arminjury,cc_armpain,cc_armswelling,cc_backpain,cc_bleeding/bruising,cc_breastpain,cc_breathingdifficulty,cc_breathingproblem,cc_chestpain,cc_dentalpain,cc_dizziness,cc_earpain,cc_elbowpain,cc_epigastricpain,cc_eyeinjury,cc_eyepain,cc_facialinjury,cc_facialpain,cc_facialswelling,cc_fingerinjury,cc_fingerpain,cc_fingerswelling,cc_flankpain,cc_footinjury,cc_footpain,cc_footswelling,cc_foreignbodyineye,cc_gibleeding,cc_groinpain,cc_hallucinations,cc_handinjury,cc_handpain,cc_headache-recurrentorknowndxmigraines,cc_headinjury,cc_hippain,cc_influenza,cc_ingestion,cc_insectbite,cc_jawpain,cc_jointswelling,cc_kneeinjury,cc_kneepain,cc_leginjury,cc_legpain,cc_legswelling,cc_medicalscreening,cc_migraine,cc_neckpain,cc_oralswelling,cc_overdose-intentional,cc_pain,cc_pelvicpain,cc_poisoning,cc_rectalbleeding,cc_rectalpain,cc_ribinjury,cc_ribpain,cc_shoulderinjury,cc_shoulderpain,cc_sicklecellpain,cc_sinusproblem,cc_skinirritation,cc_skinproblem,cc_testiclepain,cc_thumbinjury,cc_toeinjury,cc_toepain,cc_urinaryfrequency,cc_urinaryretention,cc_urinarytractinfection,cc_vaginalbleeding,cc_vaginaldischarge,cc_vaginalpain,cc_wheezing,cc_woundinfection,cc_wristinjury,cc_wristpain,,,,,,,
neck_pain,abdomnlpain,chestpain,cc_abdominalpain,cc_abdominalpainpregnant,cc_anklepain,cc_armpain,cc_backpain,cc_breastpain,cc_chestpain,cc_dentalpain,cc_earpain,cc_elbowpain,cc_epigastricpain,cc_eyepain,cc_facialpain,cc_fingerpain,cc_flankpain,cc_footpain,cc_groinpain,cc_handpain,cc_hippain,cc_jawpain,cc_kneepain,cc_legpain,cc_neckpain,cc_pain,cc_pelvicpain,cc_rectalpain,cc_ribpain,cc_shoulderpain,cc_sicklecellpain,cc_testiclepain,cc_toepain,cc_vaginalpain,cc_wristpain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dizziness,dizziness,cc_dizziness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cramps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bruising,cc_bleeding/bruising,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obesity,meds_anti-obesitydrugs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
swollen_legs,cc_legswelling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
